"Artist","SongName","MaxPopularity"
"Shawn Mendes","In My Blood","85.0"
"Justin Bieber","Love Yourself","83.0"
"Justin Bieber","Sorry","80.0"
"Justin Bieber","What Do You Mean?","77.0"
"Shawn Mendes","Nervous","77.0"
"RAF Camora","Risiko","76.0"
"Drake","Elevate","76.0"
"Ozuna","Aura","75.0"
"5 Seconds of Summer","Valentine","75.0"
"Niall Horan","This Town","74.0"
"J Balvin","Peligrosa","74.0"
"Drake","Survival","73.0"
"Red Velvet","Bad Boy","73.0"
"Troye Sivan","Bloom","72.0"
"Bag Raiders","Shooting Stars","72.0"
"GOT7","Lullaby","72.0"
"Justin Bieber","Company","71.0"
"Daft Punk","Get Lucky","71.0"
"Ozuna","Escape","70.0"
"Shawn Mendes","Why","70.0"
"The Killers","The Man","70.0"
"EXO","Sign","70.0"
"The Weeknd","I Am","69.0"
"EXO","Gravity","69.0"
"Robin Schulz","Unforgettable","68.0"
"Troye Sivan","Plum","68.0"
"Troye Sivan","Animal","68.0"
"EXO","Oasis","68.0"
"Møme","Aloha","67.0"
"EXO","With You","67.0"
"EXO","Damage","67.0"
"EXO","Bad Dream","67.0"
"Keith Urban","Coming Home","66.0"
"Ruth B.","Lost Boy","66.0"
"Robin Schulz","OK","66.0"
"Petit Biscuit","Problems","66.0"
"Sebastian Ingrosso","I Love You","66.0"
"Galantis","Hunter","66.0"
"Josylvio","Streets","65.0"
"The Weeknd","Black Panther","65.0"
"Sfera Ebbasta","Rockstar","65.0"
"Rich Brian","Cold","65.0"
"Yuna","Crush","65.0"
"Kodaline","Hide and Seek","65.0"
"Lemaitre","Closer","65.0"
"5 Seconds of Summer","More","65.0"
"MØ","I Want You","64.0"
"MØ","Blur","64.0"
"John Mayer","Helpless","64.0"
"Michael Bublé","My Funny Valentine","64.0"
"IU","Through the Night","64.0"
"BoA","Woman","64.0"
"RAF Camora","Intro","63.0"
"Lorde","Green Light","63.0"
"Michael Bublé","Forever Now","63.0"
"Andrea Bocelli","If Only","63.0"
"Gemitaiz","Paradise Lost","63.0"
"Bryant Myers","Momentos","63.0"
"Simone & Simaria","Loka","63.0"
"First Aid Kit","Fireworks","63.0"
"Simple Plan","Addicted","63.0"
"Kaleo","Broken Bones","63.0"
"Michael Bublé","Unforgettable","62.0"
"Gustavo Cerati","Deja Vu","62.0"
"Rich Brian","See Me","62.0"
"Robin Schulz","Like You Mean It","62.0"
"MHD","Encore","62.0"
"Gojira","Stranded","62.0"
"Rawayana","High","62.0"
"Avril Lavigne","Let Me Go","61.0"
"Juanes","Fuego","61.0"
"DJ Koze","Pick Up","61.0"
"Jarryd James","Do You Remember","61.0"
"Jain","Alright","61.0"
"Felix Jaehn","Keep Your Head Up","61.0"
"Capo Plaza","20","61.0"
"Atlas Genius","Stockholm","61.0"
"Justin Quiles","Egoísta","60.0"
"Lorde","Liability","60.0"
"RIN","One Night","60.0"
"Gustavo Cerati","Cactus","60.0"
"Mario","Drowning","60.0"
"Gavin James","Always","60.0"
"Left Boy","Kid","60.0"
"Tulus","Monokrom","60.0"
"Bushido","Zeit","60.0"
"Vald","Mana","60.0"
"Booba","Trône","60.0"
"Sebastian Ingrosso","Something New","60.0"
"Karol G","Hello","60.0"
"Anitta","Bang","60.0"
"Lukas Graham","Lullaby","60.0"
"Three Days Grace","The Mountain","60.0"
"Hedley","Better Days","60.0"
"AC/DC","Rock or Bust","60.0"
"Kaleo","Save Yourself","60.0"
"Lorde","Sober","59.0"
"Natalia Lafourcade","La Llorona","59.0"
"Kali Uchis","In My Dreams","59.0"
"Kylie Minogue","Dancing","59.0"
